pot,abbrev,country,team,id
1,CHE,ENG,Chelsea,52914
1,CPH,DEN,Copenhagen,52709
1,GNT,BEL,Gent,4608
1,FIO,ITA,Fiorentina,52817
1,LAS,AUT,LASK,63405
1,BET,ESP,Real Betis,52265
2,IST,TUR,Başakşehir,2600288
2,MOL,NOR,Molde,50142
2,LEG,POL,Legia Warszawa,50146
2,HEI,GER,Heidenheim,2603791
2,DJU,SWE,Djurgården,52809
2,APO,CYP,APOEL,50118
3,RAP,AUT,SK Rapid,50042
3,OMO,CYP,Omonoia,50077
3,HJK,FIN,HJK,50052
3,VIT,POR,Vitória SC,50097
3,AST,KAZ,Astana,2600605
3,OLJ,SVN,Olimpija,53081
4,CER,BEL,Cercle Brugge,52884
4,SHR,IRL,Shamrock Rovers,52381
4,TNS,WAL,The New Saints,60457
4,LUG,SUI,Lugano,8538
4,HEA,SCO,Hearts,50120
4,MLA,CZE,Mladá Boleslav,88134
5,PET,MDA,Petrocub,2607112
5,SGA,SUI,St. Gallen,51151
5,PAN,GRE,Panathinaikos,50084
5,TSC,SRB,TSC,2610140
5,BOR,BIH,Borac,50104
5,JAG,POL,Jagiellonia,2600277
6,CLJ,SVN,Celje,59030
6,LAR,NIR,Larne,85009
6,DMI,BLR,Dinamo-Minsk,50161
6,PAF,CYP,Pafos,2609532
6,VKR,ISL,Víkingur R.,52697
6,NOA,ARM,Noah,2609987
