---
timestamp: 2024-08-30 00:00:00
competition: uecl
year: 2024
simulations: 25000
---
t1,t2,home,away,total
0,1,2499,2476,4975
0,2,2585,2528,5113
0,3,2509,2530,5039
0,4,2490,2478,4968
0,5,2483,2422,4905
0,6,2076,2066,4142
0,7,2043,2053,4096
0,8,2104,2154,4258
0,9,2048,2101,4149
0,10,2054,2101,4155
0,11,2109,2091,4200
0,12,2261,2734,4995
0,13,2087,1920,4007
0,14,2176,1865,4041
0,15,2117,1852,3969
0,16,2092,1923,4015
0,17,2095,1878,3973
0,18,2047,2882,4929
0,19,2084,1996,4080
0,20,2025,2003,4028
0,21,2018,2044,4062
0,22,1977,1968,3945
0,23,2021,1935,3956
0,24,2090,2146,4236
0,25,2073,2035,4108
0,26,2052,2061,4113
0,27,2138,2051,4189
0,28,2077,2030,4107
0,29,2066,2181,4247
0,30,2052,2045,4097
0,31,2135,2059,4194
0,32,2021,2140,4161
0,33,2040,2147,4187
0,34,2102,2030,4132
0,35,2154,2075,4229
1,2,2456,2465,4921
1,3,2519,2480,4999
1,4,2428,2512,4940
1,5,2622,2543,5165
1,6,2031,2110,4141
1,7,2114,2110,4224
1,8,2107,2048,4155
1,9,2072,2060,4132
1,10,2079,2121,4200
1,11,2096,2052,4148
1,12,2310,2788,5098
1,13,2097,1881,3978
1,14,2033,1839,3872
1,15,2035,1903,3938
1,16,2137,1937,4074
1,17,2108,1932,4040
1,18,2097,2902,4999
1,19,1978,1943,3921
1,20,2034,1957,3991
1,21,2138,1990,4128
1,22,2033,1983,4016
1,23,2000,1945,3945
1,24,2053,2016,4069
1,25,2147,2118,4265
1,26,2104,2056,4160
1,27,2039,2088,4127
1,28,2080,2077,4157
1,29,2105,2117,4222
1,30,2062,2048,4110
1,31,2091,2017,4108
1,32,2076,2031,4107
1,33,2063,2151,4214
1,34,2114,2143,4257
1,35,2066,2138,4204
2,3,2560,2502,5062
2,4,2547,2434,4981
2,5,2452,2471,4923
2,6,2073,2123,4196
2,7,2160,2100,4260
2,8,2128,2070,4198
2,9,2019,2112,4131
2,10,2023,2049,4072
2,11,2045,2098,4143
2,12,2282,2697,4979
2,13,2069,1884,3953
2,14,2186,1881,4067
2,15,2156,1916,4072
2,16,2063,1890,3953
2,17,2099,1877,3976
2,18,0,0,0
2,19,2420,2574,4994
2,20,2427,2516,4943
2,21,2359,2555,4914
2,22,2429,2603,5032
2,23,2510,2607,5117
2,24,2051,2090,4141
2,25,2147,2066,4213
2,26,2117,2054,4171
2,27,2064,2038,4102
2,28,2117,2087,4204
2,29,2092,2077,4169
2,30,2066,2126,4192
2,31,2085,2094,4179
2,32,2115,2077,4192
2,33,2080,2125,4205
2,34,2070,2095,4165
2,35,1996,2071,4067
3,4,2553,2449,5002
3,5,2419,2479,4898
3,6,2087,2162,4249
3,7,2034,2076,4110
3,8,2072,2002,4074
3,9,2142,2081,4223
3,10,2103,2098,4201
3,11,2078,2065,4143
3,12,0,0,0
3,13,2317,2809,5126
3,14,2189,2759,4948
3,15,2207,2783,4990
3,16,2241,2791,5032
3,17,2160,2744,4904
3,18,2440,2549,4989
3,19,2285,1726,4011
3,20,2315,1714,4029
3,21,2253,1694,3947
3,22,2299,1690,3989
3,23,2294,1741,4035
3,24,2099,2106,4205
3,25,2070,2061,4131
3,26,2017,2058,4075
3,27,2154,2108,4262
3,28,2145,2067,4212
3,29,2059,2056,4115
3,30,2075,2138,4213
3,31,2040,2083,4123
3,32,2084,2087,4171
3,33,2012,2109,4121
3,34,2138,2073,4211
3,35,2107,2054,4161
4,5,2543,2566,5109
4,6,2082,2070,4152
4,7,2074,2108,4182
4,8,2024,2073,4097
4,9,2095,2098,4193
4,10,2172,2041,4213
4,11,2137,2026,4163
4,12,2174,2831,5005
4,13,2094,1844,3938
4,14,2180,1863,4043
4,15,2125,1897,4022
4,16,2081,1837,3918
4,17,2148,1926,4074
4,18,2136,2954,5090
4,19,2017,1961,3978
4,20,1979,1975,3954
4,21,1984,1979,3963
4,22,1997,1976,3973
4,23,2085,1957,4042
4,24,1998,2116,4114
4,25,2038,2151,4189
4,26,2122,2101,4223
4,27,2113,2129,4242
4,28,2044,2089,4133
4,29,2038,2061,4099
4,30,2109,2094,4203
4,31,2127,2070,4197
4,32,2121,2081,4202
4,33,2133,2015,4148
4,34,2016,2018,4034
4,35,2141,2075,4216
5,6,2081,2039,4120
5,7,2068,2060,4128
5,8,2097,2121,4218
5,9,2095,2077,4172
5,10,2094,2065,4159
5,11,2084,2119,4203
5,12,2152,2771,4923
5,13,1999,1999,3998
5,14,2144,1885,4029
5,15,2164,1845,4009
5,16,2063,1945,4008
5,17,2159,1874,4033
5,18,2141,2852,4993
5,19,2059,1957,4016
5,20,2084,1971,4055
5,21,1992,1994,3986
5,22,2035,2010,4045
5,23,2008,1897,3905
5,24,2129,2106,4235
5,25,2051,2043,4094
5,26,2123,2135,4258
5,27,2042,2036,4078
5,28,2063,2124,4187
5,29,2083,2065,4148
5,30,2118,2067,4185
5,31,2099,2100,4199
5,32,2111,2056,4167
5,33,2066,2059,4125
5,34,2052,2149,4201
5,35,2063,2060,4123
6,7,2553,2466,5019
6,8,2498,2533,5031
6,9,2395,2494,4889
6,10,2492,2540,5032
6,11,2492,2537,5029
6,12,2293,1775,4068
6,13,2471,2556,5027
6,14,1958,2126,4084
6,15,1987,1957,3944
6,16,1968,1919,3887
6,17,2000,1990,3990
6,18,2361,1883,4244
6,19,1936,2190,4126
6,20,2013,2166,4179
6,21,1997,2126,4123
6,22,1996,2154,4150
6,23,2020,2158,4178
6,24,2121,1998,4119
6,25,2064,1905,3969
6,26,2047,1912,3959
6,27,2030,1959,3989
6,28,2027,1893,3920
6,29,2530,2514,5044
6,30,1923,1998,3921
6,31,1967,2028,3995
6,32,1987,2019,4006
6,33,2419,2549,4968
