---
timestamp: 2025-08-28 00:00:00
competition: ucl
year: 2025
simulations: 25000
---
t1,t2,home,away,total
0,1,2834,2798,5632
0,2,3789,3789,7578
0,3,2912,2831,5743
0,4,3727,3800,7527
0,5,2443,2458,4901
0,6,3739,3730,7469
0,7,2716,2760,5476
0,8,2790,2784,5574
0,9,3549,3811,7360
0,10,2987,2852,5839
0,11,3008,3134,6142
0,12,2286,2064,4350
0,13,2549,2362,4911
0,14,2936,3228,6164
0,15,2480,2458,4938
0,16,2944,2996,5940
0,17,2211,2045,4256
0,18,4935,5139,10074
0,19,2794,2759,5553
0,20,2812,2727,5539
0,21,3196,3388,6584
0,22,2723,2759,5482
0,23,2787,2697,5484
0,24,2857,2707,5564
0,25,2846,2774,5620
0,26,0,0,0
0,27,2648,2566,5214
0,28,0,0,0
0,29,2665,2681,5346
0,30,2730,2561,5291
0,31,2795,2604,5399
0,32,3869,4314,8183
0,33,4824,5068,9892
0,34,2737,2560,5297
0,35,2682,2596,5278
1,2,4366,4289,8655
1,3,3162,3155,6317
1,4,4327,4294,8621
1,5,2725,2826,5551
1,6,4333,4382,8715
1,7,3239,3170,6409
1,8,0,0,0
1,9,4190,4128,8318
1,10,4019,3949,7968
1,11,0,0,0
1,12,2962,3018,5980
1,13,3415,3364,6779
1,14,0,0,0
1,15,3343,3430,6773
1,16,4043,4017,8060
1,17,2978,3044,6022
1,18,3771,3749,7520
1,19,2597,2576,5173
1,20,2587,2514,5101
1,21,2874,2970,5844
1,22,2525,2606,5131
1,23,2626,2588,5214
1,24,2617,2526,5143
1,25,2480,2554,5034
1,26,2873,2867,5740
1,27,2827,3038,5865
1,28,3244,3376,6620
1,29,2929,3025,5954
1,30,2966,2927,5893
1,31,2905,2872,5777
1,32,0,0,0
1,33,4264,3807,8071
1,34,2908,2982,5890
1,35,2907,2923,5830
2,3,4322,4253,8575
2,4,0,0,0
2,5,3810,3795,7605
2,6,0,0,0
2,7,4328,4325,8653
2,8,4412,4422,8834
2,9,0,0,0
2,10,3449,3410,6859
2,11,3379,3320,6699
2,12,2673,2773,5446
2,13,3003,3078,6081
2,14,3470,3238,6708
2,15,2955,3057,6012
2,16,3378,3377,6755
2,17,2643,2697,5340
2,18,0,0,0
2,19,3055,3046,6101
2,20,3084,3106,6190
2,21,3243,3281,6524
2,22,3120,3044,6164
2,23,3003,3093,6096
2,24,3053,3022,6075
2,25,2955,3069,6024
2,26,3437,3289,6726
2,27,2995,3063,6058
2,28,3410,3267,6677
2,29,2888,2983,5871
2,30,2998,3077,6075
2,31,3001,3028,6029
2,32,3657,3366,7023
2,33,0,0,0
2,34,3044,3068,6112
2,35,2957,3098,6055
3,4,4347,4377,8724
3,5,2818,2711,5529
3,6,4363,4311,8674
3,7,0,0,0
3,8,3183,3155,6338
3,9,4281,4361,8642
3,10,0,0,0
3,11,4001,3964,7965
3,12,2921,2949,5870
3,13,3430,3382,6812
3,14,3984,4043,8027
3,15,3339,3250,6589
3,16,0,0,0
3,17,2994,3001,5995
3,18,3834,3866,7700
3,19,2553,2600,5153
3,20,2562,2574,5136
3,21,2958,2857,5815
3,22,2528,2638,5166
3,23,2577,2461,5038
3,24,2530,2547,5077
3,25,2620,2515,5135
3,26,2788,2892,5680
3,27,2540,2430,4970
3,28,2866,2817,5683
3,29,2445,2446,4891
3,30,2380,2498,4878
3,31,2593,2480,5073
3,32,3326,3444,6770
3,33,3751,3834,7585
3,34,2530,2503,5033
3,35,2519,2498,5017
4,5,3727,3878,7605
4,6,0,0,0
4,7,4368,4437,8805
4,8,4384,4234,8618
4,9,0,0,0
4,10,3394,3530,6924
4,11,3416,3236,6652
4,12,2649,2760,5409
