---
timestamp: 2024-08-30 00:00:00
competition: uel
year: 2024
simulations: 25000
---
t1,t2,home,away,total
6,24,2729,2764,5493
6,25,2752,2730,5482
6,26,2650,2707,5357
6,27,2679,2668,5347
6,28,3020,3092,6112
6,29,2664,2653,5317
6,30,2733,2713,5446
6,31,3084,3111,6195
6,32,2677,2748,5425
6,33,2735,2663,5398
6,34,2687,2683,5370
6,35,2721,2669,5390
7,8,3395,3373,6768
7,9,2716,2702,5418
7,10,3101,3163,6264
7,11,3009,3109,6118
7,12,2661,2697,5358
7,13,2645,2689,5334
7,14,2734,2716,5450
7,15,2782,2594,5376
7,16,2658,2677,5335
7,17,2694,2653,5347
7,18,2681,2818,5499
7,19,2831,2741,5572
7,20,3069,3104,6173
7,21,2808,2769,5577
7,22,2633,2662,5295
7,23,2707,2775,5482
7,24,2801,2698,5499
7,25,2727,2695,5422
7,26,2743,2738,5481
7,27,2689,2734,5423
7,28,3074,3200,6274
7,29,2756,2663,5419
7,30,2644,2673,5317
7,31,2968,3044,6012
7,32,2682,2627,5309
7,33,2739,2739,5478
7,34,2799,2658,5457
7,35,2649,2662,5311
8,9,2603,2639,5242
8,10,3113,3143,6256
8,11,3051,2994,6045
8,12,2695,2701,5396
8,13,2770,2723,5493
8,14,2647,2612,5259
8,15,2727,2723,5450
8,16,2702,2783,5485
8,17,2692,2682,5374
8,18,3024,3137,6161
8,19,3033,3091,6124
8,20,0,0,0
8,21,3145,3236,6381
8,22,3124,3118,6242
8,23,3248,3132,6380
8,24,3074,3183,6257
8,25,3139,3028,6167
8,26,3213,3075,6288
8,27,2810,2654,5464
8,28,3006,3022,6028
8,29,2704,2747,5451
8,30,2691,2709,5400
8,31,3085,3031,6116
8,32,2556,2676,5232
8,33,2751,2710,5461
8,34,2707,2698,5405
8,35,2690,2753,5443
9,10,2956,3046,6002
9,11,2903,2930,5833
9,12,3612,3544,7156
9,13,3094,2975,6069
9,14,3571,3506,7077
9,15,2885,3082,5967
9,16,3083,2883,5966
9,17,2896,3034,5930
9,18,2680,2761,5441
9,19,3123,3196,6319
9,20,2724,2806,5530
9,21,2657,2683,5340
9,22,2814,2739,5553
9,23,2784,2767,5551
9,24,2743,2730,5473
9,25,2730,2675,5405
9,26,2745,2643,5388
9,27,0,0,0
9,28,2998,3070,6068
9,29,3402,3255,6657
9,30,2920,2973,5893
9,31,3382,3356,6738
9,32,3306,3360,6666
9,33,3026,3024,6050
9,34,3040,2977,6017
9,35,2926,2985,5911
10,11,3023,2969,5992
10,12,3499,3663,7162
10,13,2941,3003,5944
10,14,3562,3536,7098
10,15,3026,2905,5931
10,16,2969,2996,5965
10,17,2934,2972,5906
10,18,2799,2688,5487
10,19,3147,3121,6268
10,20,2788,2785,5573
10,21,2721,2707,5428
10,22,2703,2771,5474
10,23,2688,2734,5422
10,24,2750,2753,5503
10,25,2654,2689,5343
10,26,2750,2752,5502
10,27,3362,3356,6718
10,28,2955,3056,6011
10,29,3392,3333,6725
10,30,2959,2979,5938
10,31,0,0,0
10,32,3515,3414,6929
10,33,2977,2974,5951
10,34,2869,2879,5748
10,35,2971,3009,5980
11,12,3596,3544,7140
11,13,2992,2970,5962
11,14,3519,3567,7086
11,15,3073,2992,6065
11,16,2875,2974,5849
11,17,3046,3027,6073
11,18,2727,2734,5461
11,19,3081,3063,6144
11,20,2730,2760,5490
11,21,2721,2769,5490
11,22,2727,2743,5470
11,23,2752,2764,5516
11,24,2752,2706,5458
11,25,2727,2742,5469
11,26,2783,2719,5502
11,27,2933,2909,5842
11,28,2609,2653,5262
11,29,2946,2965,5911
11,30,2623,2548,5171
11,31,2989,3052,6041
11,32,2939,2986,5925
11,33,2651,2571,5222
11,34,2584,2644,5228
11,35,2726,2672,5398
12,13,3532,3509,7041
12,14,0,0,0
12,15,3601,3551,7152
12,16,3570,3607,7177
12,17,3546,3626,7172
12,18,2713,2768,5481
12,19,3047,3062,6109
12,20,2781,2658,5439
12,21,2809,2816,5625
12,22,2659,2596,5255
12,23,2747,2792,5539
12,24,2691,2828,5519
12,25,2765,2752,5517
12,26,2788,2728,5516
12,27,3000,2941,5941
12,28,2599,2609,5208
12,29,2996,3012,6008
12,30,2674,2695,5369
12,31,2956,2974,5930
12,32,2859,2977,5836
12,33,2606,2570,5176
12,34,2663,2612,5275
12,35,2647,2610,5257
13,14,3612,3549,7161
13,15,3021,2942,5963
13,16,2989,2917,5906
13,17,2921,3033,5954
13,18,2667,2722,5389
13,19,3155,3030,6185
13,20,2681,2733,5414
13,21,2745,2738,5483
13,22,2723,2764,5487
13,23,2790,2661,5451
13,24,2755,2777,5532
13,25,2710,2804,5514
13,26,2774,2771,5545
13,27,3464,3395,6859
13,28,3001,2936,5937
13,29,0,0,0
13,30,2985,3039,6024
13,31,3356,3336,6692
13,32,3339,3364,6703
13,33,2942,2988,5930
13,34,2911,3014,5925
13,35,3002,2928,5930
14,15,3563,3534,7097
14,16,3639,3694,7333
14,17,3640,3508,7148
14,18,2698,2762,5460
14,19,3139,3189,6328
14,20,2743,2696,5439
14,21,2754,2749,5503
14,22,2803,2722,5525
14,23,2713,2659,5372
14,24,2776,2710,5486
14,25,2765,2713,5478
14,26,2609,2800,5409
14,27,2967,3048,6015
14,28,2660,2555,5215
14,29,2953,3001,5954
14,30,2583,2567,5150
14,31,2950,2965,5915
14,32,2964,3007,5971
14,33,2584,2684,5268
14,34,2695,2627,5322
14,35,2644,2546,5190
15,16,2938,2968,5906
15,17,3056,2863,5919
15,18,3210,3081,6291
15,19,0,0,0
15,20,3137,3176,6313
15,21,3154,3227,6381
15,22,3083,3084,6167
15,23,3066,3139,6205
15,24,3081,3075,6156
15,25,3215,3128,6343
15,26,3054,3090,6144
15,27,3404,3413,6817
15,28,2896,2926,5822
15,29,3298,3461,6759
15,30,3019,2994,6013
15,31,3526,3366,6892
15,32,0,0,0
15,33,3023,2959,5982
15,34,2883,2963,5846
15,35,2951,2918,5869
16,17,2961,2937,5898
16,18,2724,2775,5499
16,19,3207,3124,6331
16,20,2661,2739,5400
16,21,2778,2627,5405
16,22,2711,2754,5465
16,23,2734,2714,5448
16,24,2704,2715,5419
16,25,2718,2840,5558
16,26,2763,2712,5475
16,27,3011,2999,6010
16,28,2659,2599,5258
16,29,3030,2969,5999
16,30,2581,2639,5220
16,31,2878,2995,5873
16,32,3043,2891,5934
16,33,2565,2634,5199
