---
timestamp: 2025-08-29 00:00:00
competition: uel
year: 2025
simulations: 25000
---
t1,t2,home,away,total
0,1,3208,3135,6343
0,2,3140,3150,6290
0,3,3191,3074,6265
0,4,3014,3030,6044
0,5,3140,3185,6325
0,6,3145,3079,6224
0,7,3102,3181,6283
0,8,3060,3166,6226
0,9,2588,2604,5192
0,10,3044,3017,6061
0,11,2653,2694,5347
0,12,3009,3045,6054
0,13,2694,2659,5353
0,14,2690,2665,5355
0,15,2608,2625,5233
0,16,3053,3002,6055
0,17,2661,2689,5350
0,18,2625,2614,5239
0,19,2625,2710,5335
0,20,2613,2650,5263
0,21,2689,2646,5335
0,22,2646,2713,5359
0,23,3087,2971,6058
0,24,3067,3000,6067
0,25,2658,2646,5304
0,26,2990,3050,6040
0,27,0,0,0
0,28,3309,3404,6713
0,29,2880,2997,5877
0,30,2880,2930,5810
0,31,2998,2867,5865
0,32,3522,3364,6886
0,33,3508,3411,6919
0,34,2915,2984,5899
0,35,2988,3043,6031
1,2,3139,3169,6308
1,3,3150,3097,6247
1,4,3157,3100,6257
1,5,3062,3146,6208
1,6,3178,3151,6329
1,7,3065,3086,6151
1,8,3114,3043,6157
1,9,3020,3064,6084
1,10,0,0,0
1,11,3074,2996,6070
1,12,3449,3392,6841
1,13,2978,3071,6049
1,14,3084,3017,6101
1,15,3044,2983,6027
1,16,3398,3406,6804
1,17,2953,3071,6024
1,18,2638,2686,5324
1,19,2592,2686,5278
1,20,2692,2585,5277
1,21,2735,2688,5423
1,22,2650,2667,5317
1,23,3041,3026,6067
1,24,3005,3061,6066
1,25,2672,2619,5291
1,26,2975,2982,5957
1,27,2982,2946,5928
1,28,2972,2961,5933
1,29,2563,2566,5129
1,30,2771,2634,5405
1,31,2563,2580,5143
1,32,3009,2988,5997
1,33,2990,3088,6078
1,34,2599,2578,5177
1,35,2551,2659,5210
2,3,3180,3074,6254
2,4,3065,3151,6216
2,5,3148,3075,6223
2,6,3089,3129,6218
2,7,3059,3133,6192
2,8,3140,3159,6299
2,9,3022,2928,5950
2,10,3418,3506,6924
2,11,3043,3053,6096
2,12,3475,3512,6987
2,13,2879,3063,5942
2,14,3101,2898,5999
2,15,3068,2902,5970
2,16,0,0,0
2,17,2994,3138,6132
2,18,2647,2695,5342
2,19,2742,2666,5408
2,20,2601,2655,5256
2,21,2715,2619,5334
2,22,2677,2666,5343
2,23,3031,2985,6016
2,24,2966,3017,5983
2,25,2697,2660,5357
2,26,2924,3037,5961
2,27,3006,2950,5956
2,28,2915,3001,5916
2,29,2601,2607,5208
2,30,2639,2561,5200
2,31,2642,2572,5214
2,32,3044,3116,6160
2,33,3038,3031,6069
2,34,2508,2666,5174
2,35,2607,2496,5103
3,4,3180,3149,6329
3,5,3153,3088,6241
3,6,3111,3107,6218
3,7,3156,3009,6165
3,8,3155,3126,6281
3,9,2709,2659,5368
3,10,2973,3089,6062
3,11,2689,2648,5337
3,12,2912,3069,5981
3,13,2647,2623,5270
3,14,2650,2594,5244
3,15,2680,2598,5278
3,16,3033,3015,6048
3,17,2707,2705,5412
3,18,2604,2636,5240
3,19,2640,2683,5323
3,20,2648,2720,5368
3,21,2678,2699,5377
3,22,2681,2550,5231
3,23,3026,3011,6037
3,24,3000,3008,6008
3,25,2700,2684,5384
3,26,3023,3009,6032
3,27,3965,3929,7894
3,28,3920,3885,7805
3,29,3390,3483,6873
3,30,3409,3393,6802
3,31,3315,3484,6799
3,32,0,0,0
3,33,0,0,0
3,34,3478,3456,6934
3,35,3523,3370,6893
4,5,3128,3089,6217
4,6,3175,3097,6272
4,7,3146,3152,6298
4,8,3121,3246,6367
4,9,3126,3012,6138
4,10,3423,3472,6895
4,11,2995,3081,6076
4,12,0,0,0
4,13,3031,2986,6017
4,14,2988,3028,6016
4,15,2989,3040,6029
4,16,3473,3379,6852
4,17,2975,3002,5977
4,18,2918,3049,5967
4,19,3042,3090,6132
4,20,3033,2947,5980
4,21,3034,2988,6022
4,22,3110,3079,6189
4,23,3375,3415,6790
4,24,3438,3402,6840
4,25,3050,3030,6080
4,26,0,0,0
4,27,2893,2920,5813
4,28,2972,2896,5868
4,29,2612,2666,5278
4,30,2605,2668,5273
4,31,2646,2677,5323
4,32,3063,3003,6066
4,33,3022,2970,5992
4,34,2558,2553,5111
4,35,2629,2647,5276
5,6,3129,3112,6241
5,7,3131,3194,6325
5,8,3157,3063,6220
5,9,2615,2715,5330
5,10,2988,2924,5912
5,11,2547,2630,5177
5,12,3108,2952,6060
5,13,2703,2622,5325
5,14,2653,2660,5313
