pot,abbrev,country,team,id
1,ROM,ITA,Roma,50137
1,MUN,ENG,Man Utd,52682
1,POR,POR,Porto,50064
1,AJX,NED,Ajax,50143
1,RAN,SCO,Rangers,50121
1,FRA,GER,Frankfurt,50072
1,LAZ,ITA,Lazio,52973
1,TOT,ENG,Tottenham,1652
1,SLP,CZE,Slavia Praha,52498
2,RSO,ESP,Real Sociedad,50123
2,AZ,NED,AZ Alkmaar,52327
2,BRA,POR,Braga,52336
2,OLY,GRE,Olympiacos,2610
2,LYO,FRA,Lyon,5312
2,PAOK,GRE,PAOK,50130
2,FEN,TUR,Fenerbahçe,52692
2,MTA,ISR,M. Tel-Aviv,57477
2,FER,HUN,Ferencváros,52298
3,QAR,AZE,Qarabağ,60609
3,GAL,TUR,Galatasaray,50067
3,PLZ,CZE,Viktoria Plzeň,64388
3,BOD,NOR,Bodø/Glimt,59333
3,USG,BEL,Union SG,64125
3,DKY,UKR,Dynamo Kyiv,52723
3,LUD,BUL,Ludogorets,2603104
3,MID,DEN,Midtjylland,75795
3,MAL,SWE,Malmö,50152
4,ATH,ESP,Athletic Club,50125
4,HOF,GER,Hoffenheim,2600431
4,NIC,FRA,Nice,52355
4,AND,BEL,Anderlecht,50074
4,TWE,NED,Twente,52818
4,BES,TUR,Beşiktaş,50157
4,FCSB,ROU,FCSB,50065
4,RFS,LVA,RFS,2609104
4,ELF,SWE,Elfsborg,52344
